mediaId,mediaName,violationCode,currentValue,capOrThreshold,network,lastUpdatedAt,lastUpdatedBy
cmp8jj2au000004jvi9uf9jmn,평택 통복시장 전광판 광고,D,impressions=2500000;dailyFootfall=80000,impressions>dailyFootfall×31,,2026-08-19T15:01:23.600Z,
cmp0t23xh000004l8niri2btn,대전 유성온천네거리 전광판 광고,D,impressions=2600000;dailyFootfall=72000,impressions>dailyFootfall×31,,2026-08-19T15:01:23.673Z,
cmqsvkrpn00010ajbc1df31sc,철산역 지하철 7호선 CM보드 영상 광고 (디지털),D,impressions=1350000;dailyFootfall=42000,impressions>dailyFootfall×31,,2026-08-19T15:01:23.774Z,
cmo60u0gm000204jspdl8gfc7,동대문 맥스타일 전광판 광고,D,impressions=1600000;dailyFootfall=24771,impressions>dailyFootfall×31,,2026-08-19T15:01:25.973Z,
cmokcli51000004l19rum9jwj,스타필드 하남점 LED 전광판 광고,D,impressions=6500000;dailyFootfall=70000,impressions>dailyFootfall×31,,2026-07-21T11:25:50.610Z,
cmp0s40za000004kvvluhlp8p,대구국제공항 대합실 TV 스탠드 광고,D,impressions=900000;dailyFootfall=18000,impressions>dailyFootfall×31,,2026-08-19T15:01:25.999Z,
cmqpabzxo000204l8xmqx12z8,구리 돌다리 사거리 전광판 광고,D,impressions=3200000;dailyFootfall=45000,impressions>dailyFootfall×31,,2026-08-19T15:01:26.285Z,
cmp0eixym000204iblzrh6a9m,강남 센트럴시티 언더월드 디지털사이니지 광고,D,impressions=1350000;dailyFootfall=33617,impressions>dailyFootfall×31,,2026-08-20T04:10:06.006Z,
cmqsvnjwc00000aja5g41bt7c,강동역 지하철 5호선 CM보드 영상 광고 (디지털),D,impressions=1650000;dailyFootfall=34000,impressions>dailyFootfall×31,,2026-08-19T15:01:23.938Z,
cmp0gg9e3000e04jicm5nl221,인천지하철 1호선 작전역 디지털사이니지 (디지털포스터) 광고,D,impressions=1600000;dailyFootfall=28000,impressions>dailyFootfall×31,,2026-08-19T15:01:26.307Z,
cmq3vyc6o000004jm5h9a4yki,성수동 대림창고 외벽광고,D,impressions=2800000;dailyFootfall=45000,impressions>dailyFootfall×31,,2026-08-19T15:01:26.468Z,
cmq97wp63000304l1gzeec2b0,스타필드 부천점 LED 전광판 광고,D,impressions=3200000;dailyFootfall=70000,impressions>dailyFootfall×31,,2026-08-19T15:01:26.729Z,
cms4ea28e000004ju3mr3xtcb,트렌드랩 성수 이마트24 TO-GO Zone 멀티비전 광고,D,impressions=1200000;dailyFootfall=32000,impressions>dailyFootfall×31,,2026-08-19T15:01:24.115Z,
