mediaId,mediaName,violationCode,currentValue,capOrThreshold,network,lastUpdatedAt,lastUpdatedBy
cmqkaqs8t000004l5l4p9crkn,경기 G버스 TV 광고,C,4230000,2000000,,2026-08-20T04:54:10.702Z,
cmp3csmb2000004l43sen816g,지하철 신분당선 메트로 라이브 광고,B,28500000,15000000,,2026-08-19T15:01:23.894Z,
cmqt7egdr000104l54jc6hrmc,광역전철 스티커 + 듀얼 LCD Full Package 광고,B,18500000,15000000,,2026-08-19T15:01:26.471Z,
cmozef5v4000404l21zc780sn,인천공항 T1 Center Bridge,B,20000000,15000000,,2026-07-21T11:25:59.402Z,
cmqsrz8n300000ajiqljoibbc,지하철 5678호선 CM보드 Full Package 광고,B,18500000,15000000,,2026-08-19T15:01:26.013Z,
cmp3biu21000004l8a8ijkh9c,지하철 2호선 메트로라이브 광고,B,45000000,15000000,,2026-08-20T01:51:35.510Z,
