priority,name,id,cheapestPeriod,cheapestPrice,cheapestLabel,priceNote,displayPeriod,displayPriceWon,monthlyShown,labelInfer,guess,confidence,hints
1,부산 지하철 1·3호선 연산역 디지털 사이니지 광고,cmoyjrhu1000004jubn133nyj,2주,2200000,2주,,month,2200000,2200000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,불광역 보광빌딩 전광판 광고,cmox127nj000804l8p3nmo48i,2주,4000000,20초 2주,,month,4000000,4000000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,사당역 삼진빌딩 전광판 광고,cmpbcufq0000004l4kl2vh2no,2주,6500000,2주,,month,6500000,6500000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,서울 고속터미널 전자게시대 광고,cmpsk57c5000004l8o39qnxs2,15일,380000,2주,,month,380000,380000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,서울 시내 버스 TV 광고,cmp3aru5q000004kzxzxwourt,1시간,20000000,2기 2면 (30초),,month,20000000,20000000,month,확인 필요,none,
1,서울 시내버스 중앙문 PKG 광고,cmqjgaph8000004l1l8lisi2p,6개월,50000,6개월 이상,,month,50000,50000,month,다개월 총액 가능성 → month 단가 취급 시 과대 표시 위험,medium,note/label suggests package/total
1,서울 택시 상단 영상 광고,cmq9cpmym000204jltw5crun4,campaign,5000000,motov-zone,,month,5000000,5000000,month,확인 필요,none,
1,성남 모란사거리 전광판 광고,cmo7fdpqb000004kzqpw67k6p,2주,3500000,20초 100회 (2주),,month,3500000,3500000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,순천 조례삼거리 서울우리병원 전광판 광고,cmpca463d000404l8on57twws,2주,1700000,2주,,month,1700000,1700000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,순천 팔마오거리 지뜨호텔 전광판 광고,cmpca1tbb000204l84v1kfrzn,2주,2200000,2주,,month,2200000,2200000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
